SVM,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
,10000,0.64,G+T1->G+R,RF,,,,,,,,,
,10000,0.8,G+F->G+S2,RF,,,,,,,,,
,10000,0.93,G+F->G+S3,RF,,,,,,,,,
,10000,0.64,G+F->G+T1,RF,,,,,,,,,
,10000,0.53,G+F->G+F,RF,,,,,,,,,
,10000,0.68,G+F->G+R,RF,,,,,,,,,
,10000,0.74,G+R->G+S2,RF,,,,,,,,,
,10000,0.9,G+R->G+S3,RF,,,,,,,,,
,10000,0.66,G+R->G+T1,RF,,,,,,,,,
,10000,0.65,G+R->G+F,RF,,,,,,,,,
,10000,0.6,G+R->G+R,RF,,,,,,,,,
,20000,0.51,G+S2->G+S2,RF,,,,,,,,,
,20000,0.94,G+S2->G+S3,RF,,,,,,,,,
,20000,0.6,G+S2->G+T1,RF,,,,,,,,,
,20000,0.67,G+S2->G+F,RF,,,,,,,,,
,20000,0.68,G+S2->G+R,RF,,,,,,,,,
,20000,0.81,G+S3->G+S2,RF,,,,,,,,,
,20000,0.58,G+S3->G+S3,RF,,,,,,,,,
,20000,0.63,G+S3->G+T1,RF,,,,,,,,,
,20000,0.67,G+S3->G+F,RF,,,,,,,,,
,20000,0.69,G+S3->G+R,RF,,,,,,,,,
,20000,0.81,G+T1->G+S2,RF,,,,,,,,,
,20000,0.94,G+T1->G+S3,RF,,,,,,,,,
,20000,0.51,G+T1->G+T1,RF,,,,,,,,,
,20000,0.68,G+T1->G+F,RF,,,,,,,,,
,20000,0.68,G+T1->G+R,RF,,,,,,,,,
,20000,0.81,G+F->G+S2,RF,,,,,,,,,
,20000,0.94,G+F->G+S3,RF,,,,,,,,,
,20000,0.65,G+F->G+T1,RF,,,,,,,,,
,20000,0.5,G+F->G+F,RF,,,,,,,,,
,20000,0.67,G+F->G+R,RF,,,,,,,,,
,20000,0.81,G+R->G+S2,RF,,,,,,,,,
,20000,0.94,G+R->G+S3,RF,,,,,,,,,
,20000,0.6,G+R->G+T1,RF,,,,,,,,,
,20000,0.67,G+R->G+F,RF,,,,,,,,,
,20000,0.52,G+R->G+R,RF,,,,,,,,,
,30000,0.5,G+S2->G+S2,RF,,,,,,,,,
,30000,0.93,G+S2->G+S3,RF,,,,,,,,,
,30000,0.61,G+S2->G+T1,RF,,,,,,,,,
,30000,0.66,G+S2->G+F,RF,,,,,,,,,
,30000,0.67,G+S2->G+R,RF,,,,,,,,,
,30000,0.81,G+S3->G+S2,RF,,,,,,,,,
,30000,0.55,G+S3->G+S3,RF,,,,,,,,,
,30000,0.61,G+S3->G+T1,RF,,,,,,,,,
,30000,0.67,G+S3->G+F,RF,,,,,,,,,
,30000,0.68,G+S3->G+R,RF,,,,,,,,,
,30000,0.81,G+T1->G+S2,RF,,,,,,,,,
,30000,0.94,G+T1->G+S3,RF,,,,,,,,,
,30000,0.5,G+T1->G+T1,RF,,,,,,,,,
,30000,0.66,G+T1->G+F,RF,,,,,,,,,
,30000,0.67,G+T1->G+R,RF,,,,,,,,,
,30000,0.81,G+F->G+S2,RF,,,,,,,,,
,30000,0.93,G+F->G+S3,RF,,,,,,,,,
,30000,0.66,G+F->G+T1,RF,,,,,,,,,
,30000,0.5,G+F->G+F,RF,,,,,,,,,
,30000,0.67,G+F->G+R,RF,,,,,,,,,
,30000,0.81,G+R->G+S2,RF,,,,,,,,,
,30000,0.94,G+R->G+S3,RF,,,,,,,,,
,30000,0.6,G+R->G+T1,RF,,,,,,,,,
,30000,0.67,G+R->G+F,RF,,,,,,,,,
,30000,0.51,G+R->G+R,RF,,,,,,,,,
,40000,0.5,G+S2->G+S2,RF,,,,,,,,,
,40000,0.93,G+S2->G+S3,RF,,,,,,,,,
,40000,0.64,G+S2->G+T1,RF,,,,,,,,,
,40000,0.66,G+S2->G+F,RF,,,,,,,,,
,40000,0.67,G+S2->G+R,RF,,,,,,,,,
,40000,0.81,G+S3->G+S2,RF,,,,,,,,,
,40000,0.51,G+S3->G+S3,RF,,,,,,,,,
,40000,0.6,G+S3->G+T1,RF,,,,,,,,,
,40000,0.66,G+S3->G+F,RF,,,,,,,,,
,40000,0.68,G+S3->G+R,RF,,,,,,,,,
,40000,0.81,G+T1->G+S2,RF,,,,,,,,,
,40000,0.93,G+T1->G+S3,RF,,,,,,,,,
,40000,0.5,G+T1->G+T1,RF,,,,,,,,,
,40000,0.66,G+T1->G+F,RF,,,,,,,,,
,40000,0.67,G+T1->G+R,RF,,,,,,,,,
,40000,0.81,G+F->G+S2,RF,,,,,,,,,
,40000,0.93,G+F->G+S3,RF,,,,,,,,,
,40000,0.7,G+F->G+T1,RF,,,,,,,,,
,40000,0.5,G+F->G+F,RF,,,,,,,,,
,40000,0.67,G+F->G+R,RF,,,,,,,,,
,40000,0.81,G+R->G+S2,RF,,,,,,,,,
,40000,0.94,G+R->G+S3,RF,,,,,,,,,
,40000,0.59,G+R->G+T1,RF,,,,,,,,,
,40000,0.67,G+R->G+F,RF,,,,,,,,,
,40000,0.5,G+R->G+R,RF,,,,,,,,,
,0,0.78,G+S2->G+S2,,,,,,,,,,
,0,0.6,G+S2->G+S3,,,,,,,,,,
,0,0.54,G+S2->G+T1,GDB,,,,,,,,,
,0,0.51,G+S2->G+F,GDB,,,,,,,,,
,0,0.47,G+S2->G+R,GDB,,,,,,,,,
,0,0.57,G+S3->G+S2,GDB,,,,,,,,,
,0,0.94,G+S3->G+S3,GDB,,,,,,,,,
,0,0.53,G+S3->G+T1,GDB,,,,,,,,,
,0,0.41,G+S3->G+F,GDB,,,,,,,,,
,0,0.5,G+S3->G+R,GDB,,,,,,,,,
,0,0.54,G+T1->G+S2,GDB,,,,,,,,,
,0,0.58,G+T1->G+S3,GDB,,,,,,,,,
,0,0.85,G+T1->G+T1,GDB,,,,,,,,,
,0,0.56,G+T1->G+F,GDB,,,,,,,,,
,0,0.49,G+T1->G+R,GDB,,,,,,,,,
,0,0.58,G+F->G+S2,GDB,,,,,,,,,
,0,0.58,G+F->G+S3,GDB,,,,,,,,,
,0,0.7,G+F->G+T1,GDB,,,,,,,,,
,0,0.7,G+F->G+F,GDB,,,,,,,,,
,0,0.41,G+F->G+R,GDB,,,,,,,,,
,0,0.45,G+R->G+S2,GDB,,,,,,,,,
,0,0.45,G+R->G+S3,GDB,,,,,,,,,
,0,0.45,G+R->G+T1,GDB,,,,,,,,,
,0,0.46,G+R->G+F,GDB,,,,,,,,,
,0,0.85,G+R->G+R,GDB,,,,,,,,,
,10000,0.78,G+S2->G+S2,GDB,,,,,,,,,
,10000,0.74,G+S2->G+S3,GDB,,,,,,,,,
,10000,0.69,G+S2->G+T1,GDB,,,,,,,,,
,10000,0.51,G+S2->G+F,GDB,,,,,,,,,
,10000,0.62,G+S2->G+R,GDB,,,,,,,,,
,10000,0.56,G+S3->G+S2,GDB,,,,,,,,,
,10000,0.94,G+S3->G+S3,GDB,,,,,,,,,
,10000,0.69,G+S3->G+T1,GDB,,,,,,,,,
,10000,0.41,G+S3->G+F,GDB,,,,,,,,,
,10000,0.58,G+S3->G+R,GDB,,,,,,,,,
